County,Quarterly,January,February,March,Total,Average,March,Total
"Linn County, Missouri",307,"2,936","2,899","2,921","27,286,322",719,0.9,0.94
"Livingston County, Missouri",416,"4,875","4,807","4,809","40,556,099",646,0.91,0.9
"McDonald County, Missouri",355,"6,030","6,036","6,119","54,060,623",686,1.02,1.02
"Macon County, Missouri",343,"3,465","3,451","3,465","27,348,192",608,0.82,0.78
"Madison County, Missouri",341,"2,766","2,745","2,785","20,389,533",567,0.89,0.87
"Maries County, Missouri",131,864,873,893,"7,098,235",623,0.84,0.88
"Marion County, Missouri",862,"11,229","11,160","11,327","108,889,795",745,1.01,1.01
"Mercer County, Missouri",72,"1,432","1,420","1,447","15,289,964",821,0.99,1.03
"Miller County, Missouri",625,"5,502","5,477","5,633","43,044,888",598,0.92,0.9
"Mississippi County, Missouri",445,"2,487","2,518","2,521","19,072,557",585,0.83,0.81
"Moniteau County, Missouri",315,"3,103","3,102","3,148","28,043,718",692,0.88,0.89
"Monroe County, Missouri",191,"1,057","1,062","1,061","7,872,721",571,0.72,0.7
"Montgomery County, Missouri",259,"2,196","2,162","2,182","19,541,023",690,0.9,0.92
"Morgan County, Missouri",488,"3,097","3,120","3,189","22,780,272",559,0.89,0.87
"New Madrid County, Missouri",720,"6,202","6,259","6,324","59,316,943",729,1.02,1.03
"Newton County, Missouri","1,276","17,642","17,560","17,723","178,223,455",777,1.01,1.03
"Nodaway County, Missouri",485,"5,531","5,656","5,734","51,664,254",705,0.86,0.84
"Oregon County, Missouri",216,"1,710","1,705","1,704","10,003,642",451,0.87,0.83
"Osage County, Missouri",248,"3,145","3,085","3,131","27,649,263",682,0.94,0.96
"Ozark County, Missouri",183,935,910,984,"6,107,472",498,0.79,0.79
"Pemiscot County, Missouri",738,"3,888","3,874","3,951","28,240,099",556,0.87,0.82
"Perry County, Missouri",532,"8,488","8,333","8,347","74,691,045",685,1.02,1
"Pettis County, Missouri","1,152","15,825","15,884","15,953","139,633,492",676,0.97,0.95
"Phelps County, Missouri","1,095","12,553","12,599","12,737","113,780,360",693,0.81,0.74
"Pike County, Missouri",425,"3,676","3,673","3,729","30,097,120",627,0.81,0.8
"Platte County, Missouri","2,597","43,150","43,020","42,916","573,497,092","1,025",1.06,1.06
"Polk County, Missouri",649,"5,924","5,864","5,886","45,639,668",596,0.81,0.73
"Pulaski County, Missouri",728,"7,455","7,512","7,480","52,720,777",542,0.67,0.48
"Putnam County, Missouri",102,494,519,507,"3,363,420",511,0.64,0.59
"Ralls County, Missouri",205,"3,114","3,117","3,174","35,397,367",869,1.06,1.06
"Randolph County, Missouri",585,"7,253","7,313","7,399","69,395,885",729,0.9,0.93
"Ray County, Missouri",358,"2,578","2,599","2,674","24,630,269",724,0.78,0.78
"Reynolds County, Missouri",256,"1,491","1,487","1,506","13,542,905",697,0.91,0.96
"Ripley County, Missouri",477,"2,149","2,130","2,164","11,825,303",424,0.93,0.84
"St. Charles County, Missouri","9,458","129,861","129,927","130,913","1,719,260,723","1,015",1.03,1.04
"St. Clair County, Missouri",177,"1,094","1,061","1,070","7,187,806",514,0.8,0.75
"Ste. Genevieve County, Missouri",422,"4,467","4,440","4,537","52,404,941",900,0.95,0.96
"St. Francois County, Missouri","1,765","17,060","17,040","17,104","133,902,225",603,0.87,0.84
"St. Louis County, Missouri","39,106","549,173","549,568","550,087","9,044,418,806","1,266",1.07,1.08
"Saline County, Missouri",507,"6,903","6,887","6,905","61,090,002",681,0.94,0.95
"Schuyler County, Missouri",69,251,240,264,"1,680,255",514,0.55,0.54
"Scotland County, Missouri",123,590,565,584,"3,761,260",499,0.61,0.51
"Scott County, Missouri","1,321","13,214","13,082","13,217","121,301,569",708,1,0.99
"Shannon County, Missouri",204,"1,023",992,"1,011","5,999,963",458,0.88,0.83
"Shelby County, Missouri",160,"1,151","1,154","1,178","8,914,663",591,0.78,0.82
"Stoddard County, Missouri",870,"8,357","8,383","8,443","77,509,209",710,1,1.01
"Stone County, Missouri",716,"5,224","4,342","5,354","37,348,290",578,0.96,0.93
"Sullivan County, Missouri",118,"1,919","1,915","1,910","22,738,676",914,0.94,0.99
"Taney County, Missouri","1,886","22,369","22,578","25,039","178,635,383",589,1.06,1.03
"Texas County, Missouri",528,"3,626","3,549","3,566","27,149,072",583,0.76,0.73
"Vernon County, Missouri",565,"5,319","5,319","5,346","48,543,788",701,0.91,0.91
"Warren County, Missouri",628,"6,151","6,074","6,133","58,444,448",735,0.97,0.96
"Washington County, Missouri",674,"3,238","3,214","3,265","21,902,580",520,0.79,0.71
"Wayne County, Missouri",406,"1,942","1,903","1,923","11,191,463",448,0.89,0.83
"Webster County, Missouri",737,"6,227","6,233","6,225","53,034,088",655,0.95,0.95
"Worth County, Missouri",52,164,158,164,"926,309",440,0.55,0.51
"Wright County, Missouri",443,"3,126","3,139","3,156","23,529,410",576,0.9,0.89
"St. Louis City, Missouri","14,580","195,546","198,462","198,435","3,378,868,908","1,316",1.03,1.04
"Unknown Or Undefined, Missouri","19,137","76,177","77,185","77,488","1,452,504,848","1,452",1.15,1.14
"Beaverhead County, Montana",469,"2,940","3,006","2,966","25,955,596",672,0.91,0.84
"Big Horn County, Montana",225,"2,201","2,194","2,217","28,307,960",988,0.66,0.72
"Blaine County, Montana",153,749,726,746,"5,065,102",526,0.62,0.5
"Broadwater County, Montana",183,"1,144","1,166","1,167","10,662,018",708,0.97,0.95
"Carbon County, Montana",449,"2,107","2,067","2,064","16,887,620",625,0.92,0.88
"Carter County, Montana",36,131,128,130,"1,246,467",739,0.61,0.7
"Cascade County, Montana","2,608","29,501","29,442","29,714","300,080,790",781,0.99,0.95
"Chouteau County, Montana",176,686,680,688,"5,261,639",591,0.7,0.71
"Custer County, Montana",455,"4,028","4,005","3,998","35,272,750",677,0.93,0.85
"Daniels County, Montana",74,471,462,448,"4,774,490",798,0.92,0.96
"Dawson County, Montana",343,"2,852","2,796","2,787","30,663,917",839,0.91,0.94
"Deer Lodge County, Montana",266,"2,056","2,075","2,072","19,759,626",735,0.79,0.79
"Fallon County, Montana",152,"1,022","1,013",993,"15,476,543","1,179",0.92,0.98
"Fergus County, Montana",484,"3,594","3,473","3,441","32,713,284",718,0.9,0.9
"Flathead County, Montana","4,656","37,266","36,974","37,130","377,343,250",782,1.03,1.01
"Gallatin County, Montana","6,678","49,998","50,482","50,220","543,634,547",832,1,0.98
"Garfield County, Montana",35,161,157,153,"856,916",420,0.58,0.5
"Glacier County, Montana",250,"1,431","1,407","1,419","12,726,490",690,0.43,0.38
"Golden Valley County, Montana",21,108,100,103,"670,840",498,0.63,0.65
"Granite County, Montana",122,753,737,727,"4,745,420",494,0.88,0.84
"Hill County, Montana",532,"4,489","4,517","4,540","38,440,524",655,0.8,0.73
"Jefferson County, Montana",341,"1,786","1,786","1,776","17,385,972",750,0.87,0.78
"Judith Basin County, Montana",78,276,274,281,"2,207,597",613,0.7,0.72
"Lake County, Montana",923,"5,444","5,438","5,484","45,230,908",638,0.74,0.67
"Lewis and Clark County, Montana","2,784","25,018","25,001","25,066","263,874,939",811,0.83,0.73
"Liberty County, Montana",75,351,352,358,"3,029,396",659,0.84,0.85
"Lincoln County, Montana",640,"4,226","4,219","4,214","31,487,642",574,0.93,0.81
"McCone County, Montana",59,342,328,330,"3,639,192",840,0.83,0.9
"Madison County, Montana",441,"4,483","4,483","4,472","40,637,325",698,1.05,1.05
"Meagher County, Montana",98,516,512,505,"3,621,313",545,0.93,0.91
"Mineral County, Montana",132,769,741,771,"5,599,506",567,0.82,0.78
"Missoula County, Montana","5,105","50,087","50,302","50,607","505,209,300",772,0.99,0.95
"Musselshell County, Montana",129,952,945,946,"13,276,268","1,078",0.92,1
"Park County, Montana",943,"4,981","5,006","5,057","45,632,885",700,1.03,1
"Petroleum County, Montana",12,31,26,23,"133,379",385,0.33,0.27
"Phillips County, Montana",152,873,848,851,"6,910,265",620,0.82,0.78
"Pondera County, Montana",199,"1,182","1,189","1,193","10,109,439",655,0.87,0.87
"Powder River County, Montana",75,273,266,264,"1,783,814",513,0.67,0.6
"Powell County, Montana",196,"1,185","1,220","1,244","10,167,429",643,0.64,0.51
"Prairie County, Montana",37,103,105,103,"758,426",563,0.43,0.32
"Ravalli County, Montana","1,721","9,635","9,583","9,671","83,720,992",669,0.98,0.93
"Richland County, Montana",566,"4,543","4,512","4,526","65,809,716","1,118",1.01,1.04
"Roosevelt County, Montana",224,"1,783","1,739","1,741","16,369,854",718,0.58,0.55
"Rosebud County, Montana",200,"2,247","2,214","2,242","34,319,400","1,182",0.72,0.82
"Sanders County, Montana",389,"2,093","2,106","2,078","15,971,179",587,0.89,0.84
"Sheridan County, Montana",183,958,936,953,"8,665,871",702,0.87,0.84
"Silver Bow County, Montana","1,248","13,154","13,152","13,158","137,583,627",805,1.01,0.95
"Stillwater County, Montana",283,"2,718","2,742","2,761","48,853,966","1,371",0.99,1.07
"Sweet Grass County, Montana",204,"1,226","1,221","1,219","16,957,757","1,067",1,1.05
"Teton County, Montana",232,"1,120","1,109","1,100","9,837,514",682,0.8,0.84
"Toole County, Montana",188,"1,232","1,214","1,212","12,665,926",799,0.78,0.74
"Treasure County, Montana",25,135,133,131,"1,351,317",782,0.79,0.91
"Valley County, Montana",285,"2,145","2,117","2,135","20,313,529",733,0.87,0.84
"Wheatland County, Montana",79,429,437,451,"4,109,725",720,0.88,0.9
"Wibaux County, Montana",30,101,98,102,"813,079",623,0.49,0.47
"Yellowstone County, Montana","6,412","71,598","70,979","71,388","871,022,614",939,1.04,1.02
"Unknown Or Undefined, Montana","3,418","7,818","7,828","7,761","151,498,629","1,494",1.12,1.12
"Adams County, Nebraska","1,075","12,635","12,778","12,776","121,608,654",735,1,0.97
"Antelope County, Nebraska",251,"1,594","1,570","1,568","14,075,677",686,0.9,0.9
"Arthur County, Nebraska",12,32,31,35,"179,277",422,0.48,0.36
"Blaine County, Nebraska",19,47,46,48,"386,657",633,0.45,0.42
"Boone County, Nebraska",239,"1,672","1,653","1,662","15,190,335",703,0.83,0.8
"Box Butte County, Nebraska",398,"2,634","2,630","2,647","22,617,288",660,0.84,0.79
"Boyd County, Nebraska",78,353,354,351,"2,489,825",543,0.7,0.7
"Brown County, Nebraska",154,801,814,814,"5,969,402",567,0.8,0.67
"Buffalo County, Nebraska","1,855","22,685","22,708","22,737","225,578,957",764,1,0.97
"Burt County, Nebraska",230,"1,187","1,159","1,159","10,757,561",708,0.79,0.79
"Butler County, Nebraska",232,"1,864","1,856","1,860","19,404,073",802,0.86,0.85
"Cass County, Nebraska",638,"4,164","4,198","4,195","42,356,346",778,0.89,0.89
"Cedar County, Nebraska",312,"1,865","1,869","1,883","15,760,832",648,0.85,0.81
"Chase County, Nebraska",210,"1,269","1,251","1,259","12,069,696",737,0.83,0.84
"Cherry County, Nebraska",287,"1,623","1,583","1,612","11,060,061",530,0.86,0.76
"Cheyenne County, Nebraska",349,"3,522","3,460","3,446","35,886,817",794,0.96,0.96
"Clay County, Nebraska",256,"1,578","1,588","1,612","15,474,287",747,0.82,0.78
"Colfax County, Nebraska",277,"4,229","4,270","4,265","45,594,711",824,0.99,1.01
"Cuming County, Nebraska",394,"2,897","2,911","2,922","28,213,163",746,0.95,0.94
"Custer County, Nebraska",435,"3,576","3,556","3,526","33,961,419",735,0.93,0.93
"Dakota County, Nebraska",473,"11,123","11,182","11,298","131,986,573",906,1.07,1.05
"Dawes County, Nebraska",286,"1,945","1,953","1,929","13,836,020",548,0.77,0.65
"Dawson County, Nebraska",774,"9,024","9,085","8,998","82,666,863",704,0.94,0.9
"Deuel County, Nebraska",68,292,297,296,"2,426,807",633,0.71,0.7
"Dixon County, Nebraska",114,"1,234","1,243","1,290","12,519,215",767,0.9,0.92
"Dodge County, Nebraska","1,125","14,839","14,930","14,879","144,165,850",745,1.02,1
"Douglas County, Nebraska","18,774","294,925","294,889","295,992","4,069,159,123","1,060",1.03,1.02
"Dundy County, Nebraska",77,311,320,317,"3,022,023",736,0.67,0.65
"Fillmore County, Nebraska",261,"1,398","1,385","1,388","15,329,085",848,0.77,0.81
"Franklin County, Nebraska",92,406,404,399,"2,647,547",505,0.65,0.58
"Frontier County, Nebraska",73,550,548,560,"4,050,996",564,0.76,0.68
"Furnas County, Nebraska",206,"1,399","1,403","1,394","12,950,901",712,0.87,0.88
"Gage County, Nebraska",720,"6,964","6,945","6,961","64,610,193",714,0.93,0.89
"Garden County, Nebraska",67,346,338,335,"2,689,936",609,0.8,0.77
"Garfield County, Nebraska",112,629,609,610,"4,294,314",536,0.93,0.87
"Gosper County, Nebraska",62,234,235,236,"2,542,495",832,0.7,0.78
"Grant County, Nebraska",49,224,216,226,"1,754,835",608,0.88,0.88
"Greeley County, Nebraska",98,355,359,362,"2,646,088",568,0.69,0.65
"Hall County, Nebraska","2,062","29,303","29,293","29,488","283,152,413",742,1.01,0.96
"Hamilton County, Nebraska",345,"2,940","2,920","2,919","31,776,023",835,0.98,0.96
"Harlan County, Nebraska",119,513,522,533,"3,651,229",537,0.76,0.66
"Hayes County, Nebraska",27,102,109,98,"995,317",743,0.61,0.68
"Hitchcock County, Nebraska",81,363,357,359,"3,114,565",666,0.65,0.65
"Holt County, Nebraska",501,"3,565","3,575","3,580","31,061,685",669,0.95,0.93
"Hooker County, Nebraska",32,162,159,192,"1,130,706",509,0.73,0.72
"Howard County, Nebraska",197,922,915,899,"6,493,573",548,0.69,0.59
"Jefferson County, Nebraska",248,"2,702","2,664","2,673","25,858,640",742,0.97,0.97
"Johnson County, Nebraska",123,767,783,807,"5,940,183",582,0.62,0.46
"Kearney County, Nebraska",197,"1,727","1,688","1,705","16,462,691",742,0.92,0.92
"Keith County, Nebraska",376,"2,630","2,609","2,641","23,251,695",681,0.98,0.96
"Keya Paha County, Nebraska",23,73,70,73,"478,856",512,0.61,0.56
"Kimball County, Nebraska",139,"1,004",977,986,"9,368,315",729,0.81,0.81
"Knox County, Nebraska",273,"1,736","1,728","1,733","14,212,653",631,0.72,0.69
"Lancaster County, Nebraska","9,962","136,686","136,613","136,306","1,522,992,008",858,0.95,0.9
"Lincoln County, Nebraska","1,166","11,315","11,299","11,231","106,617,996",727,0.94,0.88
"Logan County, Nebraska",34,101,109,109,"742,369",537,0.66,0.61
"Loup County, Nebraska",14,52,51,53,"218,884",324,0.52,0.35
"McPherson County, Nebraska",7,28,28,29,"239,085",649,0.48,0.46
"Madison County, Nebraska","1,408","18,122","18,003","18,003","180,929,404",771,0.98,0.95
"Merrick County, Nebraska",261,"1,750","1,753","1,770","18,290,435",800,0.92,0.94
"Morrill County, Nebraska",165,882,876,885,"7,990,890",698,0.7,0.65
"Nance County, Nebraska",108,581,606,610,"5,375,883",690,0.72,0.69
"Nemaha County, Nebraska",201,"1,396","1,388","1,384","11,454,471",634,0.54,0.35
"Nuckolls County, Nebraska",168,"1,112","1,119","1,105","8,604,722",595,0.88,0.86
"Otoe County, Nebraska",492,"4,735","4,752","4,790","42,946,971",694,0.91,0.83
"Pawnee County, Nebraska",78,459,457,450,"3,578,669",605,0.73,0.67
"Perkins County, Nebraska",143,715,714,708,"6,906,252",746,0.73,0.74
"Phelps County, Nebraska",401,"3,913","3,899","3,933","41,270,357",811,0.98,0.97
"Pierce County, Nebraska",227,"1,453","1,457","1,466","12,166,670",642,0.92,0.9
"Platte County, Nebraska","1,095","16,219","16,104","16,121","169,977,339",810,1.01,0.98
"Polk County, Nebraska",164,902,879,876,"7,775,196",675,0.72,0.7
"Red Willow County, Nebraska",434,"3,847","3,830","3,824","35,061,365",704,0.91,0.89
"Richardson County, Nebraska",296,"1,764","1,790","1,798","14,047,302",606,0.86,0.83
"Rock County, Nebraska",48,215,196,193,"2,289,038",875,0.53,0.62
"Saline County, Nebraska",352,"5,446","5,530","5,497","62,035,837",869,0.92,0.95
"Sarpy County, Nebraska","4,002","61,428","61,250","61,792","753,936,536",943,1.01,0.99
"Saunders County, Nebraska",554,"3,676","3,635","3,648","32,525,314",685,0.82,0.79
"Scotts Bluff County, Nebraska","1,368","12,805","12,794","12,684","116,545,214",703,0.94,0.9
"Seward County, Nebraska",485,"4,914","4,876","4,907","49,659,880",780,0.97,0.93
"Sheridan County, Nebraska",219,"1,059","1,044","1,043","7,573,125",556,0.74,0.68
"Sherman County, Nebraska",102,562,564,558,"3,837,079",526,0.85,0.8
"Sioux County, Nebraska",17,67,69,67,"548,445",623,0.56,0.52
"Stanton County, Nebraska",94,"1,035","1,025","1,026","21,122,162","1,580",0.92,1.03
"Thayer County, Nebraska",211,"1,662","1,636","1,646","15,904,693",742,0.84,0.85
"Thomas County, Nebraska",26,150,149,148,"1,830,087",945,0.73,0.83
"Thurston County, Nebraska",140,"1,117","1,086","1,101","11,797,412",824,0.44,0.45
"Valley County, Nebraska",216,"1,210","1,200","1,196","9,597,959",614,0.8,0.73
"Washington County, Nebraska",635,"6,387","6,268","6,270","77,804,576",949,0.98,0.97
"Wayne County, Nebraska",246,"3,187","3,225","3,225","25,453,608",610,0.9,0.79
"Webster County, Nebraska",107,687,692,710,"5,529,281",611,0.81,0.78
"Wheeler County, Nebraska",33,229,228,234,"1,872,324",625,0.9,0.89
"York County, Nebraska",574,"6,255","6,211","6,172","59,391,754",735,1,0.96
"Churchill County, Nevada",580,"6,404","6,391","6,413","74,540,341",896,0.93,0.9
"Clark County, Nevada","56,364","903,535","905,530","910,517","11,236,046,648",953,1.06,1.02
"Douglas County, Nevada","1,825","17,046","16,978","17,039","202,850,182",917,1.04,1.01
"Elko County, Nevada","1,266","18,313","18,413","18,637","254,701,723","1,062",0.98,0.99
"Eureka County, Nevada",48,"4,357","4,372","4,385","129,841,951","2,285",1.12,1.14
"Humboldt County, Nevada",465,"5,982","6,067","6,112","94,463,056","1,200",0.94,0.96
"Lander County, Nevada",113,"2,967","2,986","3,032","70,516,815","1,811",1,1.07
"Lincoln County, Nevada",101,615,608,621,"4,781,059",598,0.58,0.46
"Lyon County, Nevada","1,010","9,922","9,895","9,989","107,146,348",830,0.96,0.94
"Mineral County, Nevada",64,"1,077","1,100","1,117","14,340,866","1,005",0.79,0.8
"Nye County, Nevada",834,"10,301","10,320","10,514","134,662,416",998,1,1
"Pershing County, Nevada",84,"1,149","1,135","1,146","19,542,006","1,315",0.72,0.8
"Storey County, Nevada",246,"18,332","18,064","17,842","265,866,258","1,131",1.16,1.15
"Washoe County, Nevada","14,896","192,836","193,642","194,770","2,432,505,790",966,1.03,1
"White Pine County, Nevada",221,"2,847","2,840","2,889","45,080,977","1,213",0.82,0.83
"Carson City, Nevada","1,928","20,294","20,422","20,677","241,270,146",907,0.8,0.74
"Belknap County, New Hampshire","1,915","20,458","20,501","20,572","225,299,118",845,0.97,0.96
"Carroll County, New Hampshire","1,880","16,455","16,571","16,258","148,512,234",695,0.99,0.96
"Cheshire County, New Hampshire","2,001","26,356","26,381","26,405","320,707,401",935,0.99,1
"Grafton County, New Hampshire","3,064","47,675","47,525","47,223","736,727,059","1,194",1.02,1.05
"Hillsborough County, New Hampshire","11,883","182,641","181,968","182,569","3,060,123,326","1,291",1.05,1.06
"Merrimack County, New Hampshire","4,442","61,267","61,102","61,087","817,589,506","1,028",0.93,0.91
"Rockingham County, New Hampshire","10,719","133,556","132,323","132,654","2,020,086,965","1,170",1.06,1.07
"Strafford County, New Hampshire","2,773","38,742","38,805","38,625","534,774,775","1,062",0.94,0.94
"Sullivan County, New Hampshire",973,"11,199","11,179","11,197","123,252,814",847,0.96,0.97
"Atlantic County, New Jersey","6,356","103,515","103,653","105,111","1,122,348,646",829,0.98,0.89
"Bergen County, New Jersey","32,800","392,643","390,881","393,381","6,794,544,443","1,332",1.05,1.04
"Burlington County, New Jersey","10,751","172,332","171,704","173,096","2,615,384,099","1,167",1.02,1
"Camden County, New Jersey","11,854","173,703","172,974","173,945","2,350,714,112","1,042",1,0.96
"Cape May County, New Jersey","3,793","24,570","25,099","25,966","227,707,223",695,0.9,0.79
"Cumberland County, New Jersey","3,053","47,382","47,003","47,424","502,580,130",818,0.95,0.87
"Essex County, New Jersey","20,338","270,488","271,654","273,058","5,527,525,416","1,565",0.93,0.94
"Gloucester County, New Jersey","6,252","92,323","91,995","92,843","1,033,540,128",861,0.97,0.91
"Hudson County, New Jersey","15,149","226,019","227,572","229,751","5,401,706,562","1,824",1,1.03
"Hunterdon County, New Jersey","3,923","39,957","39,694","40,198","736,070,715","1,417",1,1
"Mercer County, New Jersey","10,982","183,145","183,102","184,019","4,174,589,809","1,751",0.84,0.89
"Middlesex County, New Jersey","22,272","371,512","370,748","371,720","6,448,672,778","1,336",1.02,1.01
"Monmouth County, New Jersey","20,025","223,489","222,011","224,629","3,248,477,264","1,119",1.02,1
"Morris County, New Jersey","16,953","259,819","258,673","260,224","6,568,258,212","1,946",1.06,1.07
"Ocean County, New Jersey","13,360","137,002","137,255","139,438","1,448,579,394",808,0.99,0.9
"Passaic County, New Jersey","12,470","137,648","137,327","137,808","1,777,091,612",993,0.98,0.92
"Salem County, New Jersey","1,212","16,602","16,194","16,366","260,615,698","1,223",0.94,0.96
"Somerset County, New Jersey","10,118","169,669","169,218","169,726","4,906,422,994","2,226",1.07,1.1
"Sussex County, New Jersey","3,349","30,079","29,806","29,899","355,366,148",913,0.94,0.89
"Union County, New Jersey","14,396","195,674","194,942","195,423","3,614,671,084","1,423",1.01,1.01
"Warren County, New Jersey","2,648","26,930","26,956","27,278","338,970,569",964,0.99,0.94
"Unknown Or Undefined, New Jersey","29,149","127,238","129,526","131,202","3,575,030,941","2,126",1.17,1.16
"Bernalillo County, New Mexico","19,059","263,116","264,367","264,760","3,092,800,868",901,0.95,0.9
"Catron County, New Mexico",74,353,342,340,"1,752,500",391,0.69,0.49
"Chaves County, New Mexico","1,677","16,994","16,913","16,889","143,823,349",653,0.94,0.88
"Cibola County, New Mexico",358,"4,609","4,649","4,638","40,087,723",666,0.71,0.7
"Colfax County, New Mexico",419,"3,147","3,118","3,087","23,069,633",569,0.84,0.72
"Curry County, New Mexico","1,169","13,597","13,517","13,566","123,311,177",700,0.94,0.91
"De Baca County, New Mexico",48,256,256,262,"2,063,999",615,0.7,0.7
"Dona Ana County, New Mexico","4,626","54,833","54,604","54,542","466,835,235",657,0.89,0.78
"Eddy County, New Mexico","1,720","28,189","28,484","28,730","449,428,153","1,214",1.04,1.04
"Grant County, New Mexico",663,"6,230","6,311","6,307","72,049,096",882,0.81,0.83
"Guadalupe County, New Mexico",110,992,999,"1,004","7,557,344",582,0.84,0.8
"Harding County, New Mexico",23,74,71,67,"574,922",626,0.53,0.5
"Hidalgo County, New Mexico",121,959,934,955,"6,194,739",502,0.71,0.47
"Lea County, New Mexico","1,940","28,796","28,802","28,448","415,900,903","1,115",1.03,1.05
"Lincoln County, New Mexico",722,"5,088","5,056","5,148","38,511,175",581,0.95,0.88
"Los Alamos County, New Mexico",435,"14,763","14,864","14,980","361,776,258","1,872",1.05,1.09
"Luna County, New Mexico",473,"5,063","5,114","5,208","37,426,999",561,0.85,0.69
"Mckinley County, New Mexico","1,139","14,174","13,649","13,597","98,768,356",550,0.78,0.63
"Mora County, New Mexico",103,396,394,403,"3,111,109",602,0.68,0.66
"Otero County, New Mexico","1,069","11,132","11,159","11,130","99,790,988",689,0.76,0.71
"Quay County, New Mexico",245,"1,792","1,774","1,791","14,257,891",614,0.82,0.77
"Rio Arriba County, New Mexico",730,"5,276","5,321","5,401","49,915,750",720,0.66,0.66
"Roosevelt County, New Mexico",385,"4,026","4,034","3,998","31,659,565",606,0.8,0.72
"Sandoval County, New Mexico","2,288","22,933","23,047","23,132","244,842,790",818,0.87,0.88
"San Juan County, New Mexico","2,723","34,799","35,113","35,270","403,729,165",886,0.89,0.89
"San Miguel County, New Mexico",645,"4,954","4,949","4,968","30,422,875",472,0.72,0.56
"Santa Fe County, New Mexico","5,592","45,468","45,624","45,813","453,849,024",765,0.88,0.8
"Sierra County, New Mexico",279,"2,396","2,340","2,319","16,003,450",523,0.85,0.75
"Socorro County, New Mexico",302,"3,044","3,045","3,095","25,361,114",637,0.7,0.61
"Taos County, New Mexico","1,232","9,367","9,308","9,339","70,654,672",582,0.97,0.92
"Torrance County, New Mexico",263,"2,047","2,081","2,099","17,977,636",666,0.8,0.81
"Union County, New Mexico",142,"1,003",998,"1,020","8,917,067",681,0.89,0.89
"Valencia County, New Mexico","1,172","11,409","11,485","11,434","95,377,447",641,0.88,0.83
"Unknown Or Undefined, New Mexico","5,324","19,893","20,868","21,214","333,105,060","1,240",1.16,1.14
"Albany County, New York","9,797","169,834","169,827","170,149","2,456,349,838","1,112",0.86,0.83
"Allegany County, New York",795,"8,713","9,126","9,120","81,175,351",695,0.81,0.75
"Bronx County, New York","17,981","245,301","246,678","248,457","3,133,756,461",977,0.9,0.8
"Broome County, New York","4,224","66,416","66,866","67,157","758,867,177",874,0.92,0.89
"Cattaraugus County, New York","1,586","19,909","19,876","19,756","186,270,072",722,0.79,0.75
"Cayuga County, New York","1,560","19,176","19,085","19,055","202,521,744",815,0.9,0.84
"Chautauqua County, New York","2,885","37,978","38,252","38,338","375,115,492",756,0.94,0.89
"Chemung County, New York","1,768","28,837","28,715","28,732","328,072,443",877,0.97,0.91
"Chenango County, New York",888,"12,671","12,635","12,613","165,509,522","1,007",0.88,0.91
"Clinton County, New York","1,825","25,509","25,735","25,794","262,907,795",788,0.89,0.8
"Columbia County, New York","1,869","16,459","16,542","16,685","164,187,250",763,0.92,0.86
"Cortland County, New York",992,"13,332","13,853","13,959","132,938,273",746,0.89,0.83
"Delaware County, New York","1,020","9,889","10,058","10,099","123,378,551",948,0.82,0.83
"Dutchess County, New York","7,996","92,080","92,142","93,077","1,230,895,018","1,024",0.96,0.92
"Erie County, New York","23,640","391,695","391,631","393,664","5,028,947,668",986,0.99,0.95
"Essex County, New York","1,125","9,723","9,644","9,636","97,150,037",773,0.78,0.74
"Franklin County, New York",962,"10,041","10,243","10,229","97,697,366",739,0.67,0.58
"Fulton County, New York","1,115","13,381","13,264","13,322","124,833,559",721,0.92,0.86
"Genesee County, New York","1,369","17,234","16,989","17,148","173,467,146",779,0.89,0.84
"Greene County, New York","1,154","10,533","10,437","10,228","99,705,156",738,0.83,0.72
"Hamilton County, New York",192,765,760,734,"4,902,751",501,0.55,0.4
"Herkimer County, New York","1,100","11,979","12,066","11,925","112,665,702",723,0.86,0.81
"Jefferson County, New York","2,609","28,184","28,019","28,144","272,167,059",745,0.83,0.75
"Kings County, New York","62,018","650,426","652,355","657,233","7,288,468,152",858,0.99,0.88
"Lewis County, New York",499,"3,893","3,895","3,869","36,242,080",717,0.71,0.66
"Livingston County, New York","1,301","13,667","14,016","14,023","129,932,395",719,0.81,0.72
"Madison County, New York","1,463","16,106","16,565","16,497","172,543,427",810,0.93,0.89
"Monroe County, New York","18,267","335,752","336,685","336,839","4,421,382,220","1,011",1.02,1.01
"Montgomery County, New York","1,112","16,227","15,942","16,082","167,610,614",802,1,0.97
"Nassau County, New York","52,747","541,819","540,552","545,564","8,268,049,140","1,172",1.02,0.98
"New York County, New York","125,326","2,240,023","2,256,755","2,269,867","97,171,892,311","3,314",1.07,1.11
"Niagara County, New York","4,630","56,556","57,070","57,417","579,756,191",782,0.95,0.88
"Oneida County, New York","4,905","78,123","78,691","78,755","845,200,442",828,0.88,0.83
"Onondaga County, New York","12,162","203,739","202,899","203,538","2,675,039,032","1,012",0.98,0.95
"Ontario County, New York","3,037","43,855","43,200","43,059","521,388,287",925,0.98,0.97
"Orange County, New York","10,054","118,396","117,860","118,392","1,313,866,455",855,0.96,0.87
"Orleans County, New York",703,"7,777","7,747","7,801","75,382,209",746,0.78,0.68
"Oswego County, New York","2,153","23,199","23,751","23,858","291,227,215",949,0.84,0.84
